testc_labeled,train_loss,trainc_labeled,train_lib_size
0.016666666666666666,"tensor(1.6922, grad_fn=<NllLossBackward>)",0.5263157894736842,75
0.016666666666666666,"tensor(1.6930, grad_fn=<NllLossBackward>)",0.5324675324675324,76
0.016666666666666666,"tensor(1.6972, grad_fn=<NllLossBackward>)",0.46153846153846156,77
0.0,"tensor(1.6963, grad_fn=<NllLossBackward>)",0.4050632911392405,78
0.0,"tensor(1.6981, grad_fn=<NllLossBackward>)",0.4,79
0.0,"tensor(1.6994, grad_fn=<NllLossBackward>)",0.3950617283950617,80
0.0,"tensor(1.6988, grad_fn=<NllLossBackward>)",0.43902439024390244,81
0.0,"tensor(1.6991, grad_fn=<NllLossBackward>)",0.5301204819277109,82
0.0,"tensor(1.6993, grad_fn=<NllLossBackward>)",0.5595238095238095,83
0.0,"tensor(1.7022, grad_fn=<NllLossBackward>)",0.5647058823529412,84
0.0,"tensor(1.7004, grad_fn=<NllLossBackward>)",0.5116279069767442,85
0.0,"tensor(1.7033, grad_fn=<NllLossBackward>)",0.5172413793103449,86
0.0,"tensor(1.7039, grad_fn=<NllLossBackward>)",0.5681818181818182,87
0.0,"tensor(1.7043, grad_fn=<NllLossBackward>)",0.7078651685393258,88
0.0,"tensor(1.7039, grad_fn=<NllLossBackward>)",0.6777777777777778,89
0.0,"tensor(1.7032, grad_fn=<NllLossBackward>)",0.6043956043956044,90
0.0,"tensor(1.7028, grad_fn=<NllLossBackward>)",0.5,91
0.0,"tensor(1.7053, grad_fn=<NllLossBackward>)",0.3870967741935484,92
0.0,"tensor(1.7072, grad_fn=<NllLossBackward>)",0.4574468085106383,93
0.0,"tensor(1.7085, grad_fn=<NllLossBackward>)",0.35789473684210527,94
0.0,"tensor(1.7088, grad_fn=<NllLossBackward>)",0.375,95
0.0,"tensor(1.7091, grad_fn=<NllLossBackward>)",0.3917525773195876,96
0.0,"tensor(1.7089, grad_fn=<NllLossBackward>)",0.46938775510204084,97
