#{"t_start": 1639475368.814322, "env_id": null}
r,l,t
-13.6,0,2.355315
12.6,1,2.855283
14.1,2,2.965628
9.2,3,3.413843
-24.5,4,5.734982
4.4,5,6.206631
19.0,6,6.23202
18.1,7,6.272057
4.3,8,7.572755
10.7,9,7.793443
15.3,10,8.185021
5.7,11,8.648858
12.2,12,9.490599
13.0,13,9.627314
7.9,14,10.193682
14.8,15,10.305002
