#{"t_start": 1639476951.328796, "env_id": null}
r,l,t
1.3,0,3.552876
-21.2,1,8.978314
4.7,2,11.11294
6.3,3,13.116716
6.4,4,15.603863
17.2,5,16.592081
-8.4,6,32.339247
25.8,7,32.425178
14.9,8,33.863485
24.8,9,33.984571
26.6,10,34.060739
1.9,11,35.987373
21.3,12,36.154355
14.9,13,37.625944
10.4,14,38.376869
25.1,15,39.070183
15.4,16,39.783027
20.4,17,40.803326
20.6,18,41.084856
17.8,19,41.716652
21.5,20,42.293763
22.7,21,43.076915
22.2,22,43.238037
23.8,23,43.820031
