#{"t_start": 1639476951.0963888, "env_id": null}
r,l,t
17.9,0,1.115159
-6.4,1,5.343777
14.7,2,7.958845
13.2,3,9.245874
9.1,4,11.287733
21.7,5,11.447878
-18.0,6,15.95052
-6.3,7,19.021616
17.1,8,32.645868
18.2,9,33.388906
19.4,10,34.250178
19.5,11,34.865376
11.4,12,35.690516
19.8,13,36.398478
21.1,14,37.282211
21.2,15,37.92768
19.4,16,38.499908
27.1,17,38.564358
16.3,18,39.425631
22.8,19,39.994929
20.1,20,40.237102
8.2,21,41.934409
23.4,22,42.475392
17.6,23,43.361077
18.7,24,44.042673
24.2,25,44.157901
