#{"t_start": 1639476951.9547691, "env_id": null}
r,l,t
9.0,0,1.306517
13.1,1,4.252989
-42.6,2,10.586569
19.5,3,11.403901
25.0,4,12.441918
14.4,5,13.989671
7.8,6,15.941696
20.3,7,16.943583
-3.5,8,31.788464
6.0,9,33.417189
16.8,10,34.084138
23.3,11,34.685662
25.7,12,34.770618
19.0,13,35.494203
17.5,14,36.445316
20.5,15,37.108359
5.0,16,38.549672
22.9,17,39.114091
13.0,18,40.343657
21.5,19,40.936389
18.1,20,41.577951
17.9,21,42.456801
19.2,22,42.673586
9.4,23,44.046543
