#{"t_start": 1639476951.7027953, "env_id": null}
r,l,t
24.5,0,0.378876
7.5,1,3.172042
-2.5,2,6.301724
11.7,3,8.59064
8.4,4,10.659843
-2.4,5,12.827673
11.8,6,15.213263
-2.1,7,17.376211
14.1,8,19.215937
20.0,9,32.082426
18.7,10,32.82156
18.0,11,33.705292
25.9,12,34.199402
25.4,13,34.291194
23.5,14,34.889788
20.5,15,35.072393
25.4,16,35.676846
17.6,17,36.623089
2.3,18,37.998965
23.1,19,38.732314
15.4,20,39.451998
-4.9,21,41.843595
18.8,22,42.703893
17.7,23,43.408924
23.8,24,43.530987
