#{"t_start": 1639476951.6119752, "env_id": null}
r,l,t
9.2,0,1.643448
8.9,1,4.689528
22.0,2,6.192361
24.2,3,6.308567
-34.2,4,11.73107
18.4,5,12.895056
-1.9,6,16.275702
10.7,7,17.460194
8.6,8,32.075596
8.6,9,33.64378
21.1,10,34.239444
23.8,11,34.362483
21.5,12,35.000136
19.8,13,35.709076
24.1,14,35.823328
18.6,15,36.753931
21.3,16,37.396468
24.9,17,37.502905
16.0,18,38.141537
14.3,19,39.464697
19.3,20,39.725423
22.2,21,40.748947
23.3,22,41.286997
20.1,23,41.484247
16.4,24,42.796665
25.6,25,42.891386
