#{"t_start": 1639476951.6383426, "env_id": null}
r,l,t
11.7,0,1.552633
14.2,1,3.349768
11.6,2,6.215794
0.3,3,8.754698
9.6,4,10.767262
13.0,5,11.704702
13.8,6,14.203567
13.0,7,15.316775
-27.4,8,32.67802
14.5,9,33.623273
24.3,10,33.747285
19.1,11,34.369316
26.5,12,34.441577
26.7,13,34.978652
21.3,14,35.146611
12.2,15,36.708032
26.2,16,36.785177
18.4,17,37.488257
21.8,18,38.014591
22.4,19,38.760636
12.5,20,39.537933
13.7,21,40.77336
17.6,22,41.409055
13.6,23,42.777134
26.4,24,42.85623
23.8,25,42.979268
18.9,26,43.65696
