#{"t_start": 1639475251.7368536, "env_id": null}
r,l,t
16.6,0,0.848577
17.7,1,0.895449
6.2,2,1.603412
-0.6,3,3.019338
5.9,4,3.793702
11.9,5,4.46651
11.2,6,4.630561
6.3,7,5.18326
9.5,8,5.954697
-14.9,9,8.384227
11.2,10,8.994541
8.5,11,9.656607
-7.1,12,11.137957
14.3,13,11.248302
13.2,14,12.145705
11.7,15,12.938626
