#{"t_start": 1639476787.4613538, "env_id": null}
r,l,t
-32.2,0,6.773976
-2.1,1,9.682969
17.2,2,10.960232
-19.8,3,16.143496
27.4,4,16.212825
7.1,5,19.142324
17.9,6,20.309243
5.9,7,34.854209
25.7,8,35.281918
19.3,9,35.484054
20.3,10,35.84438
10.8,11,37.010321
3.2,12,38.172356
29.1,13,38.194816
24.2,14,38.866648
11.4,15,39.603906
25.6,16,39.691791
23.6,17,40.109735
6.7,18,41.418242
28.5,19,41.450467
22.5,20,42.00805
26.8,21,42.087147
-8.7,22,43.866329
