#{"t_start": 1639476787.9847574, "env_id": null}
r,l,t
17.4,0,2.156109
6.4,1,3.820064
-31.1,2,9.220107
18.5,3,10.486628
25.2,4,11.628157
9.0,5,12.773594
28.1,6,13.930746
3.2,7,17.744956
-0.2,8,19.779003
12.7,9,34.194096
4.0,10,35.197938
26.8,11,35.265315
20.6,12,35.997691
5.8,13,37.003486
27.1,14,37.065007
23.0,15,37.550326
24.7,16,37.662625
25.9,17,37.745627
26.3,18,38.377422
6.8,19,39.493563
9.3,20,40.47592
12.7,21,41.493434
26.9,22,41.570577
18.6,23,42.224833
8.3,24,43.237462
