#{"t_start": 1639476788.2073975, "env_id": null}
r,l,t
23.4,0,0.3076
-22.5,1,5.976177
13.8,2,7.39015
6.5,3,9.036528
-7.9,4,13.700292
15.8,5,15.288085
-3.0,6,18.429482
15.2,7,20.685196
13.6,8,34.047624
27.9,9,34.093519
14.6,10,34.725314
19.8,11,35.095407
21.5,12,35.811183
25.0,13,35.91469
8.7,14,36.863849
4.5,15,38.261221
20.5,16,38.823684
12.1,17,39.459386
26.1,18,40.130241
20.5,19,40.311871
24.1,20,40.703447
17.3,21,41.382117
15.8,22,42.090077
24.5,23,42.44357
14.8,24,43.085133
