#{"t_start": 1639476787.6439576, "env_id": null}
r,l,t
4.8,0,3.950917
4.8,1,6.367753
24.2,2,6.489815
2.2,3,8.121547
5.9,4,10.816689
0.0,5,14.295957
5.5,6,18.067199
9.8,7,18.979251
-3.7,8,34.637428
23.5,9,35.106148
25.5,10,35.195987
16.8,11,35.61881
27.0,12,35.680331
19.9,13,36.430282
26.8,14,36.497661
26.1,15,36.819906
28.7,16,36.850177
10.1,17,37.531775
26.5,18,37.949716
28.4,19,37.989753
27.2,20,38.049321
26.1,21,38.684044
22.1,22,38.839308
26.0,23,39.295332
20.5,24,39.48575
10.6,25,40.7386
22.6,26,41.156543
22.7,27,41.298136
22.5,28,41.859623
21.9,29,42.063713
3.6,30,43.562639
