#{"t_start": 1639476788.3157883, "env_id": null}
r,l,t
13.5,0,1.899292
20.3,1,3.303499
19.5,2,4.627631
20.7,3,4.81219
17.3,4,5.877551
-4.1,5,8.822675
27.7,6,8.870524
-50.2,7,18.162907
21.9,8,18.323045
3.4,9,33.847442
-8.5,10,35.635414
26.9,11,35.702792
26.6,12,35.776029
18.1,13,36.250606
29.4,14,36.268185
27.2,15,36.619727
26.7,16,36.689058
19.6,17,37.239801
18.0,18,38.034674
29.0,19,38.060062
25.5,20,38.150876
17.8,21,38.767047
17.5,22,39.29924
19.0,23,40.100947
24.5,24,40.484712
24.5,25,40.593106
16.1,26,41.303021
24.2,27,41.831305
23.2,28,41.977781
27.3,29,42.041253
13.2,30,42.947446
