#{"t_start": 1639476787.8373067, "env_id": null}
r,l,t
24.3,0,0.661085
23.9,1,0.784125
17.1,2,3.75952
20.5,3,3.941151
1.4,4,7.02103
17.5,5,7.777817
-11.6,6,11.849823
17.7,7,12.833158
17.5,8,14.188539
-24.2,9,19.977231
20.3,10,33.837672
17.9,11,34.48314
20.2,12,35.013379
24.0,13,35.299493
28.1,14,35.341482
14.9,15,36.183227
27.2,16,36.244744
24.0,17,36.608005
13.1,18,37.230034
26.4,19,37.306201
26.3,20,37.727073
22.4,21,37.881361
-3.8,22,39.753311
25.4,23,39.843146
28.1,24,40.475919
21.5,25,40.640948
19.0,26,41.127244
24.0,27,41.659438
13.4,28,42.428919
22.1,29,42.831241
27.9,30,42.878109
15.3,31,43.523578
