#{"t_start": 1639476787.9505768, "env_id": null}
r,l,t
18.0,0,0.668902
3.2,1,5.02702
6.1,2,6.893113
-23.8,3,11.711164
-50.7,4,19.859081
4.7,5,34.427483
20.8,6,34.94405
19.3,7,35.322932
23.9,8,35.988908
25.3,9,36.088508
25.5,10,36.181278
28.2,11,36.464463
19.4,12,36.67148
20.9,13,37.146058
24.9,14,37.594273
22.2,15,37.753442
22.0,16,38.467265
18.8,17,39.059998
26.2,18,39.141048
17.3,19,39.677146
4.7,20,41.021787
24.4,21,41.547147
14.6,22,42.290262
23.3,23,42.671097
16.4,24,43.279454
