#{"t_start": 1639475281.7124763, "env_id": null}
r,l,t
2.8,0,1.514547
5.8,1,2.728338
9.5,2,3.465593
-9.2,3,4.737974
8.0,4,5.492809
-13.7,5,7.712393
-3.8,6,9.655628
11.3,7,10.307931
7.7,8,10.931913
15.0,9,11.027611
3.3,10,11.602772
14.1,11,12.071489
