#{"t_start": 1639476598.1489873, "env_id": null}
r,l,t
-4.9,0,2.452964
14.2,1,2.610189
14.2,2,2.77033
11.4,3,3.427513
18.6,4,3.456808
14.0,5,4.140356
3.2,6,5.119788
4.0,7,6.031838
2.3,8,7.291522
13.9,9,7.423349
4.2,10,8.935951
-21.6,11,11.532461
-4.5,12,13.332152
-3.7,13,27.423062
11.0,14,27.947442
8.5,15,28.586074
8.8,16,28.796998
12.4,17,29.326261
14.3,18,29.888722
-0.1,19,30.607428
12.3,20,31.049784
-17.7,21,32.742056
4.6,22,33.270345
16.8,23,33.336746
14.0,24,33.974402
10.1,25,34.373789
13.1,26,34.506592
15.3,27,35.003632
17.0,28,35.066126
15.2,29,35.159869
