#{"t_start": 1639476598.581574, "env_id": null}
r,l,t
12.6,0,0.297832
-7.9,1,2.300636
1.3,2,3.726324
13.3,3,3.856198
-27.1,4,6.941937
-0.7,5,8.555118
16.8,6,8.624447
13.0,7,9.383189
12.7,8,9.528687
-2.5,9,11.132101
-15.7,10,26.533473
14.8,11,26.642842
2.0,12,27.580281
5.9,13,28.261878
7.4,14,28.884883
5.9,15,29.605541
16.0,16,30.020554
11.6,17,30.182655
4.0,18,31.106423
6.4,19,31.677676
15.1,20,31.777281
13.7,21,32.229398
16.7,22,32.303611
-0.3,23,32.926619
-4.0,24,34.113067
18.2,25,34.553467
18.2,26,34.591552
16.5,27,34.662835
4.5,28,35.207724
8.5,29,35.657889
