#{"t_start": 1639476598.5425189, "env_id": null}
r,l,t
14.6,0,0.299781
9.6,1,1.20402
4.6,2,2.236179
14.5,3,2.389491
-16.0,4,4.783867
11.6,5,5.55042
17.0,6,5.61194
0.8,7,6.899942
-13.8,8,9.396855
-15.2,9,11.283455
8.4,10,12.294131
4.5,11,13.651466
5.3,12,27.01293
15.0,13,27.114485
16.2,14,27.537309
15.8,15,27.626171
1.1,16,28.396631
9.8,17,28.974719
14.0,18,29.544018
7.3,19,30.120153
-3.7,20,31.195278
10.4,21,31.68646
13.2,22,31.822195
11.8,23,32.316302
11.2,24,32.492071
14.0,25,32.841659
14.1,26,32.956885
12.4,27,33.62481
8.9,28,34.047637
14.0,29,34.163839
10.0,30,34.76048
8.9,31,35.223343
17.5,32,35.27119
9.5,33,35.704757
