#{"t_start": 1639476598.315971, "env_id": null}
r,l,t
13.3,0,0.550741
12.7,1,1.396389
-16.6,2,3.925525
-8.2,3,5.724238
15.3,4,5.81896
3.2,5,7.055208
8.1,6,7.820783
14.8,7,7.93308
12.5,8,8.760176
10.1,9,8.965242
-33.2,10,13.097788
16.6,11,13.170049
3.4,12,26.88403
15.0,13,27.220923
7.9,14,27.808779
14.9,15,27.912285
-20.3,16,29.91997
10.6,17,30.435562
14.4,18,30.836904
13.2,19,30.969707
13.1,20,31.432569
6.3,21,32.004797
15.6,22,32.094636
17.4,23,32.149318
6.0,24,32.984226
17.8,25,33.032075
10.6,26,33.732227
12.6,27,33.877724
3.1,28,34.811259
3.0,29,35.385442
