#{"t_start": 1639476597.9497797, "env_id": null}
r,l,t
5.7,0,1.764534
0.5,1,2.893378
11.0,2,3.570084
15.7,3,3.663825
12.3,4,4.380577
3.7,5,5.349265
15.8,6,6.035745
8.7,7,6.643127
2.2,8,7.520026
11.2,9,8.217247
11.7,10,8.389109
2.4,11,10.036466
-1.4,12,11.61547
4.2,13,12.745275
-2.9,14,14.252992
14.7,15,27.191633
16.7,16,27.261942
12.5,17,27.648637
17.4,18,27.703319
16.4,19,28.12126
12.7,20,28.270663
2.3,21,29.397547
18.4,22,29.432701
11.7,23,29.594801
15.7,24,30.130899
10.4,25,30.650396
17.4,26,30.701174
16.1,27,30.780272
12.9,28,31.209929
14.2,29,31.324181
19.1,30,31.344687
8.4,31,31.897388
4.2,32,32.51356
12.6,33,32.991067
16.8,34,33.054539
12.7,35,33.432445
14.0,36,33.548649
16.9,37,34.131617
14.9,38,34.233173
17.0,39,34.290788
15.5,40,34.589598
9.7,41,35.192097
5.6,42,35.716479
12.6,43,35.85807
10.9,44,36.264295
