#{"t_start": 1639476598.4233868, "env_id": null}
r,l,t
-27.5,0,3.186313
6.5,1,4.012434
0.5,2,5.645141
5.4,3,6.437083
-19.6,4,8.836342
9.7,5,9.656601
12.4,6,10.39679
13.4,7,10.528618
9.6,8,11.311774
-1.6,9,13.049939
9.2,10,13.824304
-1.6,11,27.658397
12.4,12,27.812683
16.4,13,28.295101
9.7,14,28.490376
16.3,15,28.945423
17.5,16,28.998156
8.3,17,29.674869
8.4,18,30.229519
9.9,19,30.71777
17.5,20,30.769524
9.5,21,31.30074
17.5,22,31.352494
11.3,23,31.826097
13.7,24,31.953043
12.9,25,32.424693
6.9,26,32.913919
13.9,27,33.032076
14.5,28,33.661917
7.0,29,34.119897
18.5,30,34.153096
8.5,31,34.778057
16.7,32,34.84446
17.0,33,34.904025
16.9,34,35.213576
17.0,35,35.27412
17.3,36,35.330757
7.1,37,35.806312
