#{"t_start": 1639476598.7231674, "env_id": null}
r,l,t
12.3,0,0.162096
2.3,1,1.898334
4.9,2,2.749823
12.8,3,2.902157
4.1,4,4.435265
12.1,5,4.584666
-15.7,6,6.796441
18.7,7,6.828671
-37.1,8,10.927034
-31.6,9,26.882083
8.7,10,27.454312
16.2,11,27.530479
8.3,12,28.162274
-0.8,13,29.394616
17.2,14,29.450279
17.5,15,29.501057
16.6,16,29.902396
16.2,17,29.976612
7.8,18,30.5049
13.5,19,30.634772
15.6,20,31.048808
4.5,21,31.655215
7.3,22,32.236234
-1.7,23,33.405104
12.6,24,33.758596
11.5,25,33.921671
14.2,26,34.439217
15.0,27,34.537841
14.9,28,34.886453
8.1,29,35.113977
15.8,30,35.42548
