#{"t_start": 1639475895.6982925, "env_id": null}
r,l,t
-13.5,0,4.704774
22.8,1,5.750605
10.5,2,6.920453
10.4,3,8.794359
0.8,4,10.595023
-2.5,5,13.887782
4.9,6,16.104435
