#{"t_start": 1636886983.6076717, "env_id": null}
r,l,t
17.899998,23,0.083979
11.400002,88,0.306623
8.800005,114,0.395483
8.800004,114,0.395483
7.9000044,123,0.434545
3.7000084,165,0.576135
2.200007,180,0.624963
12.900002,73,0.652303
