#{"t_start": 1639476652.5273566, "env_id": null}
r,l,t
2.8,0,0.729443
14.8,1,0.831
12.0,2,1.194258
18.9,3,1.218671
7.5,4,1.836794
-48.4,5,7.053257
17.6,6,7.10306
14.5,7,7.210474
16.7,8,7.536627
-11.4,9,8.927161
15.8,10,9.010164
15.8,11,9.338266
12.3,12,9.485722
17.2,13,9.886096
18.6,14,9.914408
8.4,15,10.38996
18.5,16,10.421205
11.4,17,11.57738
16.6,18,11.645738
18.7,19,24.01215
11.9,20,24.435952
14.9,21,24.537508
14.7,22,24.639065
16.4,23,24.882211
4.0,24,25.348002
16.4,25,25.41831
-2.7,26,26.15752
13.3,27,26.452424
18.6,28,26.483671
13.0,29,26.616475
19.2,30,26.901613
18.1,31,26.940673
15.9,32,27.01977
18.0,33,27.061759
12.5,34,27.381075
13.9,35,27.507044
4.7,36,28.131028
18.6,37,28.164229
17.8,38,28.22575
6.6,39,28.656385
13.7,40,29.095814
14.5,41,29.203224
13.9,42,29.331147
15.2,43,29.676829
16.4,44,29.752995
16.9,45,29.820373
16.6,46,30.176797
12.7,47,30.386744
10.2,48,30.77246
10.4,49,31.091778
16.1,50,31.180636
