#{"t_start": 1639476652.0146976, "env_id": null}
r,l,t
16.6,0,0.700145
-9.9,1,1.757694
5.1,2,2.424645
14.4,3,3.394308
19.0,4,3.416769
1.1,5,4.474318
15.7,6,5.214505
15.3,7,5.306297
-16.4,8,7.703604
17.4,9,7.755356
-0.3,10,8.815838
9.4,11,9.402714
3.5,12,9.963227
11.4,13,10.468076
17.8,14,10.512017
-0.3,15,12.143751
15.4,16,24.571682
16.8,17,24.632223
19.8,18,24.640037
17.3,19,24.96521
14.1,20,25.081414
9.7,21,25.447601
8.5,22,25.830389
12.0,23,26.165329
8.3,24,26.51101
7.5,25,26.91821
13.6,26,27.046134
18.8,27,27.070544
16.5,28,27.404509
16.6,29,27.471886
17.1,30,27.528524
-4.5,31,28.323394
16.1,32,28.401515
19.3,33,28.422022
18.7,34,28.627085
18.1,35,28.672007
19.0,36,28.697397
18.5,37,28.745242
16.1,38,28.844846
17.9,39,28.885859
15.9,40,29.120218
16.5,41,29.189549
17.8,42,29.235447
17.4,43,29.604562
15.3,44,29.695377
18.8,45,29.723694
18.7,46,29.755921
17.1,47,29.817438
-2.7,48,30.850578
13.4,49,31.176726
18.2,50,31.219695
19.2,51,31.243131
19.0,52,31.271447
7.6,53,31.646425
