#{"t_start": 1639476652.4511921, "env_id": null}
r,l,t
6.6,0,0.731394
-36.7,1,3.952868
17.9,2,3.998764
1.3,3,5.310203
6.5,4,6.20077
16.4,5,6.271078
4.6,6,7.339371
13.5,7,7.746572
-14.3,8,9.418339
15.4,9,9.51013
17.0,10,9.567744
17.8,11,9.955414
8.9,12,10.419251
-10.5,13,24.59707
13.9,14,24.713274
8.1,15,25.122428
8.9,16,25.484709
15.5,17,25.756175
15.5,18,25.84406
7.5,19,26.210248
14.1,20,26.487577
17.0,21,26.549094
17.5,22,26.601826
16.1,23,26.676039
16.4,24,27.012933
18.5,25,27.044178
17.5,26,27.093982
17.4,27,27.148664
8.0,28,27.558796
16.2,29,27.78632
16.1,30,27.860533
13.3,31,27.994318
6.2,32,28.630991
7.6,33,29.184668
14.0,34,29.303801
-2.2,35,30.291044
18.9,36,30.324246
5.3,37,30.85546
11.0,38,31.162083
