#{"t_start": 1639476651.903377, "env_id": null}
r,l,t
19.0,0,0.760688
19.0,1,0.783148
4.7,2,1.363188
9.8,3,1.767459
13.3,4,1.896357
2.7,5,3.468523
18.3,6,3.505628
13.6,7,3.629644
19.0,8,3.651129
10.1,9,4.54072
16.9,10,5.24966
15.6,11,5.345356
18.3,12,5.38051
10.8,13,5.858018
7.9,14,6.722223
19.2,15,6.741751
17.1,16,6.798388
15.9,17,6.877486
14.6,18,7.759264
1.6,19,8.408635
-11.5,20,10.010098
16.3,21,10.083333
6.6,22,10.677044
6.8,23,11.178967
14.8,24,12.276553
19.5,25,24.62832
9.9,26,25.090204
0.0,27,25.647783
17.9,28,25.846013
16.2,29,25.921202
16.5,30,25.990537
14.5,31,26.278602
15.5,32,26.367465
13.9,33,26.48562
12.6,34,26.75611
12.1,35,27.07152
10.2,36,27.524617
16.2,37,27.598832
17.9,38,27.641798
19.3,39,27.6584
5.5,40,28.117352
6.7,41,28.521623
17.2,42,28.759898
14.5,43,28.900507
10.1,44,29.252045
16.3,45,29.327235
17.2,46,29.38192
-6.2,47,30.739257
18.0,48,30.793939
13.7,49,30.97264
18.7,50,31.018534
9.2,51,31.423782
17.1,52,31.491159
17.8,53,31.657169
13.8,54,31.788019
