#{"t_start": 1639476651.682687, "env_id": null}
r,l,t
9.7,0,1.168867
16.7,1,1.506735
17.3,2,1.564348
13.2,3,1.696176
13.0,4,2.039903
18.6,5,2.070176
5.6,6,2.725408
19.6,7,2.739078
15.4,8,3.689213
17.4,9,3.74292
4.0,10,4.74481
16.8,11,5.455703
16.4,12,5.536751
0.8,13,6.200771
16.7,14,6.899944
-25.3,15,9.207414
3.4,16,10.150713
18.2,17,10.188796
5.8,18,10.800086
5.1,19,11.334232
19.5,20,11.346926
7.2,21,24.924198
16.1,22,25.268903
12.7,23,25.411472
19.5,24,25.425143
18.1,25,25.463226
17.1,26,25.693679
13.2,27,25.827462
4.8,28,26.273721
6.4,29,26.838139
17.6,30,26.888916
17.6,31,26.941647
12.9,32,27.240456
18.1,33,27.280495
4.3,34,27.842957
13.7,35,27.967948
12.8,36,28.279452
14.1,37,28.554825
11.3,38,28.716926
15.9,39,28.983508
18.7,40,29.013779
12.3,41,29.201269
6.5,42,29.612376
17.4,43,29.981491
16.8,44,30.044964
16.3,45,30.125036
11.3,46,30.548838
18.4,47,30.583993
13.5,48,31.000959
13.4,49,31.184541
16.2,50,31.412066
10.0,51,31.674746
15.8,52,31.883713
18.9,53,31.908126
18.0,54,31.952069
