#{"t_start": 1639476652.6269608, "env_id": null}
r,l,t
17.2,0,0.074214
16.0,1,0.16112
9.0,2,0.64937
13.2,3,0.990168
16.6,4,1.057546
0.5,5,1.810429
13.3,6,2.801577
0.6,7,4.514356
-22.6,8,7.036657
18.3,9,7.072788
-28.3,10,9.289443
15.3,11,9.379281
7.3,12,9.96225
16.8,13,10.28059
7.3,14,11.514885
16.4,15,23.924264
17.5,16,23.975043
14.8,17,24.343182
16.8,18,24.409584
11.3,19,24.747458
16.9,20,24.807997
16.2,21,24.887092
16.5,22,25.115595
12.5,23,25.260119
16.4,24,25.329447
15.4,25,25.602867
16.6,26,25.670247
18.3,27,25.7054
17.7,28,25.753249
13.0,29,26.015927
14.7,30,26.118459
15.2,31,26.378208
11.6,32,26.803962
9.1,33,27.012935
-7.0,34,28.037283
18.4,35,28.07439
3.4,36,28.581191
17.6,37,28.630993
18.0,38,28.672984
9.9,39,29.188577
17.1,40,29.500081
13.1,41,29.638741
4.7,42,30.29788
15.4,43,30.565444
