#{"t_start": 1639476652.2080405, "env_id": null}
r,l,t
4.9,0,1.005795
5.8,1,1.489161
15.1,2,1.583884
6.9,3,2.21763
7.6,4,3.315217
-0.6,5,5.061198
10.4,6,5.545542
14.2,7,5.656866
2.3,8,7.402846
5.2,9,7.960426
8.2,10,8.58148
13.5,11,8.712332
-1.6,12,9.751327
18.6,13,9.780624
12.9,14,10.259109
17.1,15,10.314768
12.1,16,10.72197
18.2,17,10.759076
18.1,18,10.796184
18.2,19,10.833292
15.9,20,11.909393
13.3,21,24.376386
15.5,22,24.73281
18.5,23,24.765033
17.5,24,24.816786
17.3,25,24.871471
13.2,26,25.174186
18.3,27,25.208363
15.6,28,25.297224
17.5,29,25.354839
13.9,30,25.626305
12.5,31,25.952457
12.1,32,26.104791
18.2,33,26.140923
15.0,34,26.363563
16.6,35,26.434847
15.5,36,26.522732
14.6,37,26.792245
14.7,38,26.895756
5.4,39,27.438689
19.3,40,27.620319
16.1,41,27.705274
14.8,42,27.814641
17.1,43,28.025565
16.8,44,28.087085
7.6,45,28.514796
14.0,46,28.666151
11.1,47,28.988395
11.1,48,29.475667
17.4,49,29.530351
18.7,50,29.562578
17.5,51,29.616285
9.1,52,30.084028
19.1,53,30.104534
12.9,54,30.545913
11.0,55,30.953114
2.7,56,31.440386
