#{"t_start": 1639476652.3535433, "env_id": null}
r,l,t
15.6,0,0.38083
16.4,1,0.457
8.0,2,0.962824
19.4,3,0.978446
13.5,4,1.31339
-41.4,5,5.367818
18.1,6,5.410781
-29.4,7,8.42134
-31.1,8,10.61162
-0.7,9,24.602929
9.8,10,24.798231
13.7,11,25.090203
8.5,12,25.472989
8.8,13,25.868471
18.8,14,25.894839
18.5,15,25.926086
18.3,16,25.962219
18.1,17,26.001278
5.4,18,26.5696
14.7,19,26.676038
14.5,20,26.7815
16.7,21,27.112534
-0.2,22,27.675973
5.6,23,28.280428
14.4,24,28.417139
17.4,25,28.48745
17.0,26,28.547013
4.9,27,29.304776
17.9,28,29.346767
-4.4,29,30.375999
16.1,30,30.485368
17.1,31,30.581063
8.3,32,31.004866
16.5,33,31.199186
16.4,34,31.273401
