#{"t_start": 1639475340.688192, "env_id": null}
r,l,t
10.5,0,0.729446
1.9,1,1.956903
11.4,2,2.119004
-11.4,3,4.673532
10.0,4,5.293605
-11.4,5,6.82964
-0.7,6,8.240682
-5.0,7,9.57751
14.6,8,9.681996
18.5,9,10.258131
19.2,10,10.278636
0.0,11,10.989529
15.7,12,12.004115
18.0,13,12.045125
12.6,14,12.182812
